Date,Price,Open,High,Low,Vol.,Gap_Price_Open,Gap_High_Low
01/14/2026,96.28,97.15,97.41,95.6,3.52M,-0.87,1.81
01/13/2026,97.09,97.86,97.86,96.21,2.57M,-0.77,1.65
01/12/2026,97.93,95.89,98.17,95.49,2.82M,2.04,2.68
01/09/2026,95.85,95.07,96.01,94.36,2.03M,0.78,1.65
01/08/2026,94.84,94.14,97.35,93.73,5.08M,0.7,3.62
01/07/2026,93.91,93.61,95.45,92.65,3.24M,0.3,2.8
01/06/2026,93.08,92.91,93.61,91.45,4.90M,0.17,2.16
01/05/2026,92.89,89.01,92.99,89.01,5.42M,3.88,3.98
01/02/2026,88.59,89.1,89.38,87.69,2.23M,-0.51,1.69
12/30/2025,88.6,89.53,90.69,88.6,1.60M,-0.93,2.09
12/29/2025,89.9,89.56,89.9,89.01,1.85M,0.34,0.89
12/26/2025,89.2,89.79,89.88,88.56,1.62M,-0.59,1.32
12/23/2025,89.9,89.21,91.14,89.2,4.12M,0.69,1.94
12/22/2025,89.5,88.61,90.09,87.86,4.10M,0.89,2.23
12/19/2025,88.02,86.9,89.23,86.9,5.25M,1.12,2.33
12/18/2025,86.8,86.01,88.35,85.5,3.65M,0.79,2.85
12/17/2025,85.7,88.84,89.04,85.36,5.32M,-3.14,3.68
12/16/2025,87.98,86.55,89.05,86.02,4.34M,1.43,3.03
12/15/2025,87.02,87.31,88.0,86.52,4.53M,-0.29,1.48
12/12/2025,86.96,86.37,88.43,86.15,3.25M,0.59,2.28
12/11/2025,86.36,87.78,88.2,85.39,3.90M,-1.42,2.81
12/10/2025,88.62,87.85,89.46,87.22,4.50M,0.77,2.24
12/09/2025,88.0,85.15,89.01,84.63,5.79M,2.85,4.38
12/08/2025,86.03,84.36,86.99,84.36,3.19M,1.67,2.63
12/05/2025,84.26,84.94,85.83,82.15,6.90M,-0.68,3.68
12/04/2025,84.79,86.73,87.86,84.37,4.17M,-1.94,3.49
12/03/2025,86.46,85.1,86.87,83.36,4.06M,1.36,3.51
12/02/2025,84.73,83.09,85.99,82.58,6.66M,1.64,3.41
12/01/2025,82.67,84.05,84.7,82.1,2.88M,-1.38,2.6
11/28/2025,84.04,83.51,84.04,82.56,2.71M,0.53,1.48
11/27/2025,83.44,82.85,84.19,82.83,1.93M,0.59,1.36
11/26/2025,83.21,82.9,83.25,81.9,7.68M,0.31,1.35
11/25/2025,82.25,82.5,83.11,80.8,5.51M,-0.25,2.31
11/24/2025,82.52,82.6,83.55,81.87,5.58M,-0.08,1.68
11/21/2025,82.65,86.38,86.75,82.17,5.21M,-3.73,4.58
11/19/2025,86.4,84.4,86.64,83.83,2.72M,2.0,2.81
11/18/2025,84.4,83.7,84.82,83.17,3.01M,0.7,1.65
11/17/2025,84.09,83.34,85.05,83.34,4.34M,0.75,1.71
11/14/2025,83.3,83.48,83.61,82.33,3.79M,-0.18,1.28
11/13/2025,83.48,84.6,85.51,83.05,4.10M,-1.12,2.46
11/12/2025,84.4,86.55,87.15,83.7,5.59M,-2.15,3.45
11/11/2025,86.86,86.49,88.18,85.9,4.57M,0.37,2.28
11/10/2025,86.5,86.7,87.76,86.35,3.34M,-0.2,1.41
11/07/2025,86.3,86.26,87.84,85.52,7.51M,0.04,2.32
11/06/2025,85.24,86.55,87.58,84.9,2.58M,-1.31,2.68
11/05/2025,87.21,84.12,87.23,83.5,4.39M,3.09,3.73
11/04/2025,84.13,84.54,87.2,83.01,6.21M,-0.41,4.19
11/03/2025,87.27,88.55,88.77,85.22,2.34M,-1.28,3.55
10/31/2025,86.99,88.43,88.5,86.44,3.65M,-1.44,2.06
10/30/2025,87.89,87.65,88.38,87.26,6.20M,0.24,1.12
10/29/2025,88.01,89.52,89.88,87.65,3.79M,-1.51,2.23
10/28/2025,89.37,86.51,89.86,86.51,7.38M,2.86,3.35
10/27/2025,86.68,86.64,87.55,86.46,2.76M,0.04,1.09
10/24/2025,86.38,86.2,86.83,85.75,2.95M,0.18,1.08
10/23/2025,85.99,85.0,86.47,84.87,4.83M,0.99,1.6
10/22/2025,84.74,85.8,85.8,83.33,4.08M,-1.06,2.47
10/21/2025,85.66,82.0,85.91,81.55,8.21M,3.66,4.36
10/20/2025,81.49,81.5,81.75,80.0,2.64M,-0.01,1.75
10/17/2025,80.61,80.75,81.87,79.73,4.64M,-0.14,2.14
10/16/2025,80.7,80.55,81.18,79.38,5.12M,0.15,1.8
10/15/2025,80.63,82.0,82.29,79.24,8.08M,-1.37,3.05
10/14/2025,82.65,79.11,82.66,78.95,8.90M,3.54,3.71
10/13/2025,78.8,77.36,78.88,76.93,4.64M,1.44,1.95
10/10/2025,77.2,77.51,78.4,77.13,3.09M,-0.31,1.27
10/09/2025,77.37,78.19,78.69,76.96,3.53M,-0.82,1.73
10/08/2025,77.74,77.36,78.0,76.81,4.64M,0.38,1.19
10/07/2025,77.03,77.29,78.3,76.63,5.00M,-0.26,1.67
10/06/2025,77.91,77.65,79.27,77.14,4.54M,0.26,2.13
10/03/2025,76.7,76.5,77.52,75.63,5.89M,0.2,1.89
10/02/2025,75.71,80.09,80.35,75.71,7.20M,-4.38,4.64
10/01/2025,80.39,80.68,81.0,79.4,3.04M,-0.29,1.6
09/30/2025,80.29,79.53,80.7,79.05,4.08M,0.76,1.65
09/29/2025,79.03,81.55,82.02,79.03,4.15M,-2.52,2.99
09/26/2025,80.8,80.23,81.16,79.61,3.09M,0.57,1.55
09/25/2025,80.0,80.03,80.21,78.81,2.68M,-0.03,1.4
09/24/2025,80.1,79.65,81.58,79.6,4.15M,0.45,1.98
09/23/2025,79.65,80.5,80.68,78.69,5.34M,-0.85,1.99
09/22/2025,80.3,77.65,80.99,77.35,9.07M,2.65,3.64
09/19/2025,76.75,76.45,77.48,75.21,4.55M,0.3,2.27
09/18/2025,76.16,75.69,76.39,75.45,2.98M,0.47,0.94
09/17/2025,75.39,76.0,76.01,74.4,5.75M,-0.61,1.61
09/16/2025,75.85,76.55,76.7,75.6,5.03M,-0.7,1.1
09/15/2025,75.88,77.17,77.35,75.52,4.21M,-1.29,1.83
09/12/2025,76.72,79.03,79.04,76.7,6.52M,-2.31,2.34
09/11/2025,79.3,80.71,81.3,79.1,5.29M,-1.41,2.2
09/10/2025,80.19,82.02,84.07,80.01,9.26M,-1.83,4.06
09/09/2025,81.49,81.0,81.97,80.58,3.71M,0.49,1.39
09/08/2025,80.98,82.31,82.9,80.98,4.13M,-1.33,1.92
09/05/2025,82.04,79.82,82.66,79.69,7.38M,2.22,2.97
09/04/2025,79.61,77.75,79.99,77.22,6.10M,1.86,2.77
09/03/2025,77.52,78.32,78.77,77.25,3.05M,-0.8,1.52
09/02/2025,78.2,75.89,78.59,75.6,4.06M,2.31,2.99
09/01/2025,76.54,75.71,77.45,75.71,2.49M,0.83,1.74
08/29/2025,76.2,75.89,76.53,75.0,5.36M,0.31,1.53
08/28/2025,76.21,76.1,76.62,75.58,3.33M,0.11,1.04
08/27/2025,75.6,76.99,76.99,75.4,3.10M,-1.39,1.59
08/26/2025,76.48,75.8,76.61,75.3,4.00M,0.68,1.31
08/25/2025,75.73,78.14,78.14,75.73,4.03M,-2.41,2.41
08/22/2025,77.6,77.2,78.4,77.11,5.09M,0.4,1.29
08/21/2025,76.98,75.8,77.69,75.52,5.10M,1.18,2.17
08/20/2025,76.1,77.0,77.62,74.37,8.33M,-0.9,3.25
08/19/2025,77.0,77.7,77.8,76.44,4.44M,-0.7,1.36
08/18/2025,78.41,77.4,79.06,76.21,5.23M,1.01,2.85
08/15/2025,77.29,80.74,80.81,75.92,8.64M,-3.45,4.89
08/14/2025,80.69,78.78,81.2,78.5,5.25M,1.91,2.7
08/13/2025,79.21,79.42,79.69,77.97,3.98M,-0.21,1.72
08/12/2025,79.25,79.01,80.06,78.52,2.93M,0.24,1.54
08/11/2025,78.49,79.05,79.67,78.01,3.28M,-0.56,1.66
08/08/2025,79.12,78.5,79.31,77.75,3.96M,0.62,1.56
08/07/2025,78.4,78.25,79.1,77.27,5.04M,0.15,1.83
08/06/2025,77.88,80.0,83.16,77.65,9.48M,-2.12,5.51
08/05/2025,78.62,82.06,82.9,77.2,13.26M,-3.44,5.7
08/04/2025,80.0,79.77,80.32,78.6,4.90M,0.23,1.72
08/01/2025,79.05,80.7,81.69,78.01,10.06M,-1.65,3.68
07/31/2025,80.66,77.47,82.85,77.16,18.74M,3.19,5.69
07/30/2025,76.25,69.16,76.76,66.9,18.07M,7.09,9.86
07/29/2025,68.74,67.01,70.04,66.45,11.32M,1.73,3.59
07/28/2025,66.25,66.32,66.89,65.06,5.76M,-0.07,1.83
07/25/2025,66.21,66.3,67.06,65.56,5.50M,-0.09,1.5
07/24/2025,65.8,68.09,68.48,65.66,5.07M,-2.29,2.82
07/23/2025,68.46,67.15,69.39,67.12,5.02M,1.31,2.27
07/22/2025,67.66,69.63,69.75,67.33,6.43M,-1.97,2.42
07/21/2025,68.12,67.95,70.02,66.84,5.64M,0.17,3.18
07/18/2025,68.3,70.5,70.5,67.26,11.37M,-2.2,3.24
07/17/2025,71.11,71.67,72.11,70.87,3.93M,-0.56,1.24
07/16/2025,71.2,74.06,74.73,70.71,10.27M,-2.86,4.02
07/15/2025,74.06,74.3,76.1,73.01,9.06M,-0.24,3.09
07/14/2025,73.64,73.99,75.13,73.01,7.90M,-0.35,2.12
07/11/2025,74.3,75.3,75.37,72.9,10.69M,-1.0,2.47
07/10/2025,75.32,72.55,76.28,71.63,23.91M,2.77,4.65
07/09/2025,78.21,80.91,83.1,77.1,14.96M,-2.7,6.0
07/08/2025,81.15,81.85,83.55,80.84,4.52M,-0.7,2.71
07/07/2025,81.73,83.48,83.95,81.35,6.29M,-1.75,2.6
07/04/2025,83.49,82.97,83.71,82.28,2.21M,0.52,1.43
07/03/2025,83.14,81.0,83.45,80.8,6.24M,2.14,2.65
07/02/2025,79.62,80.69,80.73,78.9,6.18M,-1.07,1.83
07/01/2025,80.41,78.0,81.35,77.98,7.45M,2.41,3.37
06/30/2025,77.01,74.65,77.58,74.64,4.97M,2.36,2.94
06/27/2025,74.64,73.74,75.07,72.61,4.21M,0.9,2.46
06/26/2025,74.01,72.85,74.84,72.85,3.42M,1.16,1.99
06/25/2025,73.08,72.76,73.53,72.17,3.38M,0.32,1.36
06/24/2025,73.19,73.15,73.95,72.66,3.04M,0.04,1.29
06/23/2025,73.04,72.16,73.04,70.38,3.58M,0.88,2.66
06/20/2025,72.53,72.91,73.77,72.06,6.67M,-0.38,1.71
06/18/2025,72.9,71.71,73.67,70.84,8.95M,1.19,2.83
06/17/2025,70.1,69.5,70.43,68.53,5.72M,0.6,1.9
06/16/2025,69.99,66.65,71.47,66.65,8.52M,3.34,4.82
06/13/2025,66.44,67.95,69.1,66.4,5.82M,-1.51,2.7
06/12/2025,68.86,66.73,69.14,65.34,5.04M,2.13,3.8
06/11/2025,66.03,66.15,66.93,64.74,4.08M,-0.12,2.19
06/10/2025,65.86,67.87,67.87,65.72,4.07M,-2.01,2.15
06/09/2025,67.5,64.03,67.86,63.91,5.94M,3.47,3.95
06/06/2025,64.51,66.99,66.99,64.41,5.55M,-2.48,2.58
06/05/2025,66.7,67.07,67.5,66.01,3.09M,-0.37,1.49
06/04/2025,67.44,65.53,68.58,65.11,5.26M,1.91,3.47
06/03/2025,64.81,65.37,66.17,64.81,1.97M,-0.56,1.36
06/02/2025,65.39,66.0,66.13,65.15,2.00M,-0.61,0.98
05/30/2025,65.49,66.7,66.83,64.62,4.89M,-1.21,2.21
05/29/2025,66.43,66.5,67.17,65.62,3.00M,-0.07,1.55
05/28/2025,66.9,68.38,68.67,66.46,3.45M,-1.48,2.21
05/27/2025,68.4,67.82,68.56,67.53,3.91M,0.58,1.03
05/26/2025,67.0,67.13,67.52,66.7,1.07M,-0.13,0.82
05/23/2025,67.13,67.0,67.33,65.97,3.48M,0.13,1.36
05/22/2025,67.03,66.97,67.89,66.63,2.50M,0.06,1.26
05/21/2025,67.19,68.6,68.94,67.08,2.44M,-1.41,1.86
05/20/2025,68.78,70.7,70.8,68.5,3.39M,-1.92,2.3
05/19/2025,70.65,68.82,70.76,68.69,3.60M,1.83,2.07
05/16/2025,68.75,69.21,69.81,68.06,3.82M,-0.46,1.75
05/15/2025,69.85,69.0,70.2,68.7,2.20M,0.85,1.5
05/14/2025,69.57,69.57,70.54,69.09,3.58M,0.0,1.45
05/13/2025,69.32,68.02,69.57,67.98,2.96M,1.3,1.59
05/12/2025,68.04,68.43,68.58,66.45,3.35M,-0.39,2.13
05/09/2025,67.63,69.43,70.02,67.03,3.83M,-1.8,2.99
05/08/2025,69.39,68.24,70.77,67.68,6.09M,1.15,3.09
05/07/2025,67.28,66.54,67.85,65.8,4.42M,0.74,2.05
05/06/2025,66.39,66.03,67.2,62.38,12.01M,0.36,4.82
05/05/2025,65.86,66.04,67.21,64.93,4.57M,-0.18,2.28
05/02/2025,66.05,64.66,66.59,63.92,2.99M,1.39,2.67
04/30/2025,64.85,63.83,65.14,63.11,3.84M,1.02,2.03
04/29/2025,64.0,64.04,64.39,63.3,2.16M,-0.04,1.09
04/28/2025,63.98,63.69,64.73,62.89,2.66M,0.29,1.84
04/25/2025,63.45,63.24,63.7,62.7,3.64M,0.21,1.0
04/24/2025,63.14,63.06,63.73,62.25,3.55M,0.08,1.48
04/23/2025,63.06,62.17,63.63,61.75,4.25M,0.89,1.88
04/22/2025,60.91,62.84,62.84,60.1,4.85M,-1.93,2.74
04/17/2025,63.09,62.59,63.59,62.06,4.71M,0.5,1.53
04/16/2025,62.35,64.93,65.01,62.11,5.62M,-2.58,2.9
04/15/2025,64.58,63.44,65.49,63.44,5.81M,1.14,2.05
04/14/2025,62.67,61.79,63.38,61.75,5.14M,0.88,1.63
04/11/2025,60.65,61.13,61.82,59.59,3.99M,-0.48,2.23
04/10/2025,60.86,62.46,62.54,60.2,5.14M,-1.6,2.34
04/09/2025,62.39,59.8,63.06,58.44,8.19M,2.59,4.62
04/08/2025,60.54,61.18,62.18,60.01,8.25M,-0.64,2.17
04/07/2025,60.05,58.47,61.39,58.06,8.96M,1.58,3.33
04/04/2025,59.95,62.39,62.54,59.69,11.49M,-2.44,2.85
04/03/2025,63.29,64.33,67.87,63.03,14.15M,-1.04,4.84
04/02/2025,64.8,66.06,66.35,64.25,4.85M,-1.26,2.1
04/01/2025,65.67,65.99,65.99,63.93,5.49M,-0.32,2.06
03/31/2025,65.68,66.08,66.16,63.74,6.00M,-0.4,2.42
03/28/2025,66.29,68.28,69.0,66.01,4.50M,-1.99,2.99
03/27/2025,68.25,69.93,69.93,67.97,5.39M,-1.68,1.96
03/26/2025,69.26,69.91,70.37,68.75,4.53M,-0.65,1.62
03/25/2025,69.67,71.55,71.93,69.33,5.02M,-1.88,2.6
03/24/2025,71.18,74.67,74.77,70.43,7.33M,-3.49,4.34
03/21/2025,74.68,73.7,75.91,73.15,9.70M,0.98,2.76
03/20/2025,73.88,79.22,79.25,72.65,10.99M,-5.34,6.6
03/19/2025,79.21,78.12,79.75,77.89,6.66M,1.09,1.86
03/18/2025,77.95,76.95,78.3,76.95,6.23M,1.0,1.35
03/17/2025,77.33,75.36,78.1,74.68,8.21M,1.97,3.42
03/14/2025,74.8,74.47,76.05,73.61,5.65M,0.33,2.44
03/13/2025,73.77,72.92,74.42,72.76,4.15M,0.85,1.66
03/12/2025,72.88,73.05,74.07,72.34,6.28M,-0.17,1.73
03/11/2025,73.14,74.27,74.27,72.68,7.53M,-1.13,1.59
03/10/2025,74.17,73.08,74.74,72.84,9.35M,1.09,1.9
03/07/2025,73.6,74.49,74.82,72.73,7.32M,-0.89,2.09
03/06/2025,74.64,75.47,76.29,74.01,12.98M,-0.83,2.28
03/05/2025,75.77,71.93,76.07,71.54,13.90M,3.84,4.53
02/28/2025,69.65,67.96,69.98,67.73,13.19M,1.69,2.25
02/27/2025,68.83,64.14,70.24,62.66,25.11M,4.69,7.58
02/26/2025,61.39,61.16,62.43,60.65,5.56M,0.23,1.78
02/25/2025,60.56,60.9,62.79,60.4,7.12M,-0.34,2.39
02/24/2025,59.83,59.24,60.09,57.82,5.36M,0.59,2.27
02/21/2025,58.92,61.27,61.8,58.72,8.74M,-2.35,3.08
02/20/2025,61.17,60.94,61.51,60.14,4.10M,0.23,1.37
02/19/2025,60.82,60.04,61.14,59.84,3.96M,0.78,1.3
02/18/2025,60.42,60.44,60.69,59.73,3.16M,-0.02,0.96
02/17/2025,60.41,60.33,60.86,58.72,7.24M,0.08,2.14
02/14/2025,60.29,60.7,60.89,60.01,3.81M,-0.41,0.88
02/13/2025,60.42,59.71,60.61,59.14,5.16M,0.71,1.47
02/12/2025,59.44,59.59,59.9,58.91,5.13M,-0.15,0.99
02/11/2025,60.06,61.0,61.26,59.56,5.48M,-0.94,1.7
02/10/2025,60.91,62.24,62.64,60.69,5.66M,-1.33,1.95
02/07/2025,62.24,64.18,65.13,62.24,5.66M,-1.94,2.89
02/06/2025,64.43,65.94,66.14,63.56,10.46M,-1.51,2.58
02/05/2025,66.3,61.44,66.51,60.95,22.06M,4.86,5.56
02/04/2025,57.4,59.36,59.54,57.12,6.65M,-1.96,2.42
02/03/2025,59.36,59.79,59.84,58.0,6.19M,-0.43,1.84
01/31/2025,59.64,60.22,60.84,59.4,5.32M,-0.58,1.44
01/30/2025,59.98,59.24,60.3,59.23,4.51M,0.74,1.07
01/29/2025,59.13,59.77,59.88,58.84,4.03M,-0.64,1.04
01/28/2025,59.31,59.74,60.09,58.85,4.78M,-0.43,1.24
01/27/2025,59.1,61.09,61.42,58.72,7.23M,-1.99,2.7
01/24/2025,60.91,61.84,62.04,60.28,4.30M,-0.93,1.76
01/23/2025,61.67,61.69,62.19,60.94,4.38M,-0.02,1.25
01/22/2025,61.09,62.09,62.84,60.69,4.71M,-1.0,2.15
01/21/2025,62.4,60.44,62.66,60.33,5.50M,1.96,2.33
01/20/2025,60.66,59.94,60.69,59.49,1.92M,0.72,1.2
01/17/2025,59.82,60.04,60.66,59.3,4.85M,-0.22,1.36
01/16/2025,60.07,58.02,60.08,57.96,7.33M,2.05,2.12
01/15/2025,58.0,57.35,58.73,57.19,5.99M,0.65,1.54
01/14/2025,56.84,56.49,57.31,55.75,4.95M,0.35,1.56
01/13/2025,56.49,57.03,58.0,56.24,4.26M,-0.54,1.76
01/10/2025,57.24,57.24,57.35,56.26,5.15M,0.0,1.09
01/09/2025,57.29,57.32,57.66,56.84,2.19M,-0.03,0.82
01/08/2025,57.18,58.29,58.92,57.15,5.07M,-1.11,1.77
01/07/2025,57.99,57.16,58.16,56.86,6.23M,0.83,1.3
01/06/2025,56.81,57.26,57.59,56.28,3.63M,-0.45,1.31
01/03/2025,56.97,57.73,57.94,56.97,4.19M,-0.76,0.97
01/02/2025,57.74,56.44,57.92,56.33,6.48M,1.3,1.59
12/30/2024,56.13,56.78,57.03,55.74,4.08M,-0.65,1.29
12/27/2024,56.27,56.34,56.64,55.81,3.93M,-0.07,0.83
12/26/2024,56.18,54.94,56.25,54.48,3.88M,1.24,1.77
12/23/2024,55.49,54.42,55.94,54.38,4.70M,1.07,1.56
12/20/2024,54.9,55.67,56.14,54.75,9.09M,-0.77,1.39
12/19/2024,55.91,55.41,56.44,55.38,4.68M,0.5,1.06
12/18/2024,55.12,56.39,56.79,54.97,7.90M,-1.27,1.82
12/17/2024,56.69,56.33,57.12,55.66,7.45M,0.36,1.46
12/16/2024,55.59,56.01,56.15,54.99,5.55M,-0.42,1.16
12/13/2024,55.38,55.52,56.08,54.82,4.48M,-0.14,1.26
12/12/2024,55.18,56.64,56.8,54.99,3.98M,-1.46,1.81
12/11/2024,56.88,56.15,57.34,55.99,8.25M,0.73,1.35
12/10/2024,55.79,57.0,57.04,55.71,3.23M,-1.21,1.33
12/09/2024,56.38,57.36,57.94,56.38,3.71M,-0.98,1.56
12/06/2024,57.26,56.34,57.64,55.82,4.28M,0.92,1.82
12/05/2024,56.3,56.19,56.84,56.0,3.71M,0.11,0.84
12/04/2024,56.11,56.04,56.18,55.09,9.14M,0.07,1.09
12/03/2024,56.02,57.49,58.32,55.82,7.04M,-1.47,2.5
12/02/2024,57.55,57.9,58.76,57.47,4.00M,-0.35,1.29
11/29/2024,58.07,56.65,58.26,56.21,7.50M,1.42,2.05
11/28/2024,56.6,56.68,57.73,56.23,4.43M,-0.08,1.5
11/27/2024,56.63,58.54,58.72,56.51,6.07M,-1.91,2.21
11/26/2024,58.43,56.94,58.43,56.55,7.20M,1.49,1.88
11/25/2024,57.05,56.94,57.18,55.29,9.31M,0.11,1.89
11/22/2024,56.84,56.08,56.84,55.77,3.77M,0.76,1.07
11/21/2024,56.19,53.77,56.63,53.77,7.23M,2.42,2.86
11/19/2024,54.38,55.13,55.13,52.39,9.38M,-0.75,2.74
11/18/2024,55.6,55.43,55.93,54.24,3.65M,0.17,1.69
11/14/2024,55.36,56.64,57.04,54.89,5.82M,-1.28,2.15
11/13/2024,56.63,54.36,57.22,54.36,10.38M,2.27,2.86
11/12/2024,54.07,55.61,55.94,53.21,7.62M,-1.54,2.73
11/11/2024,55.59,54.28,55.95,53.86,9.37M,1.31,2.09
11/08/2024,53.73,50.5,55.22,49.35,22.07M,3.23,5.87
11/07/2024,50.0,50.0,50.34,49.49,4.02M,0.0,0.85
11/06/2024,50.5,48.45,50.53,48.45,5.21M,2.05,2.08
11/05/2024,49.02,48.75,49.25,48.26,3.44M,0.27,0.99
11/04/2024,48.75,48.83,49.45,48.75,3.53M,-0.08,0.7
11/01/2024,48.42,48.69,48.97,47.89,4.23M,-0.27,1.08
10/31/2024,48.43,49.05,50.03,48.43,5.06M,-0.62,1.6
10/30/2024,49.03,50.17,50.48,49.03,4.20M,-1.14,1.45
10/29/2024,50.07,49.05,50.6,49.05,5.22M,1.02,1.55
10/28/2024,48.89,49.96,50.29,48.89,3.30M,-1.07,1.4
10/25/2024,49.51,49.45,50.54,49.1,4.29M,0.06,1.44
10/24/2024,49.47,49.05,49.98,48.77,4.90M,0.42,1.21
10/23/2024,49.1,49.58,50.2,49.06,3.67M,-0.48,1.14
10/22/2024,49.58,49.92,50.0,48.57,5.01M,-0.34,1.43
10/21/2024,49.93,48.43,50.2,48.4,6.01M,1.5,1.8
10/18/2024,47.93,48.33,48.65,47.93,3.62M,-0.4,0.72
10/17/2024,48.05,48.79,48.94,48.05,4.04M,-0.74,0.89
10/16/2024,48.72,46.45,48.74,46.17,10.06M,2.27,2.57
10/15/2024,45.64,46.4,47.18,45.51,4.27M,-0.76,1.67
10/14/2024,46.18,45.13,46.55,45.12,5.47M,1.05,1.43
10/11/2024,45.32,46.77,46.94,45.32,4.58M,-1.45,1.62
10/10/2024,46.7,45.95,46.99,45.59,4.51M,0.75,1.4
10/09/2024,45.93,45.75,46.59,45.67,4.46M,0.18,0.92
10/08/2024,45.88,45.85,47.0,45.6,4.46M,0.03,1.4
10/07/2024,45.81,46.2,46.6,45.77,3.91M,-0.39,0.83
10/04/2024,45.89,45.35,46.6,45.27,5.47M,0.54,1.33
10/03/2024,45.13,45.97,46.62,45.13,5.19M,-0.84,1.49
10/02/2024,46.28,47.91,47.95,46.28,4.96M,-1.63,1.67
10/01/2024,47.08,48.5,48.5,47.08,3.85M,-1.42,1.42
09/30/2024,47.92,48.21,48.52,47.41,3.69M,-0.29,1.11
09/27/2024,48.22,50.4,50.43,48.22,4.25M,-2.18,2.21
09/26/2024,50.08,50.45,50.79,49.8,3.68M,-0.37,0.99
09/25/2024,50.11,50.35,50.69,49.58,6.00M,-0.24,1.11
